City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Kangaba,ML,11.9333,-8.4167,78.82,13,24,5.32,few clouds
312,Beloha,MG,-25.1667,45.05,71.89,76,100,11.83,overcast clouds
313,Komsomolskiy,UZ,40.4272,71.7189,36.82,80,0,2.3,clear sky
314,Labuhan,ID,-6.8844,112.2051,75.02,87,100,6.2,overcast clouds
315,Crixas,BR,-14.5489,-49.9692,86.2,59,33,3.31,scattered clouds
316,Oistins,BB,13.0667,-59.5333,84.29,61,40,25.32,scattered clouds
317,Alamosa,US,37.4695,-105.87,36.66,51,0,3.44,clear sky
318,Barrow,US,71.2906,-156.7887,-20.18,76,75,6.91,broken clouds
319,Creel,MX,27.75,-107.6333,50.88,27,5,9.15,clear sky
320,Anloga,GH,5.7947,0.8973,84.42,58,34,10.8,scattered clouds
321,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,86,27,18.48,scattered clouds
322,Fazilka,IN,30.4,74.0333,52.36,87,0,5.84,clear sky
323,Alofi,NU,-19.0595,-169.9187,80.49,83,72,11.5,broken clouds
324,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,17.27,scattered clouds
325,Coquimbo,CL,-29.9533,-71.3436,69.1,60,0,12.53,clear sky
326,Victoria,HK,22.2855,114.1577,64.45,83,95,5.01,overcast clouds
327,Kruisfontein,ZA,-34.0033,24.7314,70.88,89,0,16.49,clear sky
328,Lincoln,US,40.8,-96.667,14.38,50,0,3.0,clear sky
329,Brignoles,FR,43.4,6.0667,43.18,63,0,5.77,clear sky
330,Dombarovskiy,RU,50.7587,59.5386,-2.56,100,36,5.03,scattered clouds
331,Saint George,US,37.1041,-113.5841,53.64,39,0,1.01,clear sky
332,Hong Gai,VN,20.956,107.0946,62.51,87,100,5.44,overcast clouds
333,Tirumullaivasal,IN,11.2333,79.8333,74.19,68,11,6.6,few clouds
334,Sao Filipe,CV,14.8961,-24.4956,73.58,78,100,4.54,overcast clouds
335,Borogontsy,RU,62.6683,131.1683,-39.35,99,48,3.2,scattered clouds
336,Dolores,AR,-36.3132,-57.6792,81.18,67,71,17.02,moderate rain
337,Majene,ID,-3.5403,118.9707,76.08,94,100,7.09,very heavy rain
338,Kuching,MY,1.55,110.3333,73.62,100,20,0.0,few clouds
339,Lagoa,PT,39.05,-27.9833,61.63,86,76,20.11,broken clouds
340,Cassilandia,BR,-19.1133,-51.7342,87.84,48,73,4.54,broken clouds
341,Alta Floresta,BR,-9.8756,-56.0861,91.22,58,40,5.75,scattered clouds
342,Mihaesti,RO,45.0333,24.25,32.67,88,12,2.35,few clouds
343,Constitucion,CL,-35.3333,-72.4167,66.04,50,0,14.83,clear sky
344,Bereda,ES,43.2686,-7.5406,48.92,96,18,7.99,few clouds
